blockSize,average bytes per value
10,3.582
20,2.648
30,2.35
40,2.168
50,2.084
60,2.042
70,2.022
80,1.913
90,1.999
100,1.876
110,1.905
120,2.018
130,1.877
140,1.908
150,1.884
160,1.898
170,2.084
180,2.087
190,2.087
200,1.913
210,1.93
220,1.944
230,1.959
240,1.973
250,1.967
260,1.981
270,1.962
280,1.975
290,1.954
300,2.004
310,2.017
320,2.03
330,2.046
340,2.334
350,2.356
360,2.378
370,2.402
380,2.424
390,2.105
400,2.118
410,2.133
420,2.146
430,2.16
440,2.173
450,2.188
460,2.201
470,2.215
480,2.228
490,2.243
500,2.233
510,2.241
520,2.25
530,2.201
540,2.211
550,2.22
560,2.23
570,2.241
580,2.251
590,2.26
600,2.27
610,2.281
620,2.291
630,2.3
640,2.31
650,2.321
660,2.331
670,2.34
680,2.31
690,2.322
700,2.333
710,2.344
720,2.355
730,2.367
740,2.378
750,2.389
760,2.4
770,2.412
780,2.423
790,2.434
800,2.445
810,2.457
820,2.468
830,2.479
840,2.49
850,2.502
860,2.513
870,2.524
880,2.535
890,2.547
900,2.558
910,2.569
920,2.58
930,2.592
940,2.603
950,2.614
960,2.625
970,2.637
980,2.648
990,2.658
1000,2.647
1010,2.647
1020,2.647
1030,2.647
1040,2.647
1050,2.647
1060,2.647
1070,2.647
1080,2.647
1090,2.647
1100,2.647
1110,2.647
1120,2.647
1130,2.647
1140,2.647
1150,2.647
1160,2.647
1170,2.647
1180,2.647
1190,2.647
1200,2.647
1210,2.647
1220,2.647
1230,2.647
1240,2.647
1250,2.647
1260,2.647
1270,2.647
1280,2.647
1290,2.647
1300,2.647
1310,2.647
1320,2.647
1330,2.647
1340,2.647
1350,2.647
1360,2.647
1370,2.647
1380,2.647
1390,2.647
1400,2.647
1410,2.647
1420,2.647
1430,2.647
1440,2.647
1450,2.647
1460,2.647
1470,2.647
1480,2.647
1490,2.647
1500,2.647
